"","X1","Provincie","Jaar_Kwartaal","Aantal_vacatures","Poep","Aantal_keren_stront_in_pot"
"4393",4393,NA,NA,NA,NA,NA
"4394",4394,"Overijssel","2017 Q3",12,"27",12
"4395",4395,"Overijssel","2017 Q4",12,"27",12
"4396",4396,"Overijssel","2017 Q1",9,"27",9
"4397",4397,"Overijssel","2017 Q2",8,"27",8
"4398",4398,"Overijssel","2016 Q4",7,"27",7
"4399",4399,"Overijssel","2016 Q3",4,"27",4
"4400",4400,NA,NA,NA,NA,NA
"4401",4401,"Overijssel","2016 Q2",3,"27",3
"4402",4402,"Overijssel","2016 Q1",2,"27",2
"4403",4403,NA,NA,NA,NA,NA
"4404",4404,NA,NA,NA,NA,NA
